Time,BBB CPU [degC],RPi CPU [degC]
2018/06/20-20:12:12 (+0000),37.312,45.084
2018/06/20-20:12:13 (+0000),37.312,45.622
2018/06/20-20:12:14 (+0000),37.25,45.622
2018/06/20-20:12:15 (+0000),37.187,45.622
2018/06/20-20:12:15 (+0000),37.187,45.084
2018/06/20-20:12:16 (+0000),37.125,45.084
2018/06/20-20:12:17 (+0000),37.062,45.084
2018/06/20-20:12:18 (+0000),37.062,46.16
2018/06/20-20:12:19 (+0000),37,45.622
2018/06/20-20:12:20 (+0000),37,45.084
2018/06/20-20:12:21 (+0000),36.937,45.622
2018/06/20-20:12:22 (+0000),36.937,45.084
2018/06/20-20:12:23 (+0000),36.875,45.622
2018/06/20-20:12:23 (+0000),36.875,45.084
2018/06/20-20:12:24 (+0000),36.812,45.084
2018/06/20-20:12:25 (+0000),36.812,45.622
2018/06/20-20:12:26 (+0000),36.75,45.084
2018/06/20-20:12:27 (+0000),36.75,45.084
2018/06/20-20:12:28 (+0000),36.687,45.084
2018/06/20-20:12:29 (+0000),36.687,45.084
2018/06/20-20:12:30 (+0000),36.687,45.622
2018/06/20-20:12:30 (+0000),36.687,45.622
2018/06/20-20:12:31 (+0000),36.625,45.084
2018/06/20-20:12:32 (+0000),36.625,45.084
2018/06/20-20:12:33 (+0000),36.625,45.084
2018/06/20-20:12:34 (+0000),36.625,45.084
2018/06/20-20:12:35 (+0000),36.562,45.622
2018/06/20-20:12:37 (+0000),36.562,45.622
2018/06/20-20:12:37 (+0000),36.562,45.622
2018/06/20-20:12:38 (+0000),36.5,45.622
2018/06/20-20:12:39 (+0000),36.5,45.084
2018/06/20-20:12:40 (+0000),36.5,45.622
2018/06/20-20:12:41 (+0000),36.5,45.084
2018/06/20-20:12:42 (+0000),36.5,45.084
2018/06/20-20:12:43 (+0000),36.5,45.084
2018/06/20-20:12:44 (+0000),36.437,45.084
2018/06/20-20:12:45 (+0000),36.437,45.622
2018/06/20-20:12:45 (+0000),36.437,45.622
2018/06/20-20:12:46 (+0000),36.437,45.084
2018/06/20-20:12:47 (+0000),36.375,45.622
2018/06/20-20:12:48 (+0000),36.375,45.622
2018/06/20-20:12:49 (+0000),36.375,45.084
2018/06/20-20:12:50 (+0000),36.375,45.622
2018/06/20-20:12:51 (+0000),36.375,45.084
2018/06/20-20:12:52 (+0000),36.375,46.16
2018/06/20-20:12:52 (+0000),36.375,45.084
2018/06/20-20:12:53 (+0000),36.312,45.084
2018/06/20-20:12:54 (+0000),36.312,45.084
2018/06/20-20:12:55 (+0000),36.312,45.084
2018/06/20-20:12:56 (+0000),36.312,45.084
2018/06/20-20:12:57 (+0000),36.312,45.084
2018/06/20-20:12:58 (+0000),36.312,45.622
2018/06/20-20:12:59 (+0000),36.312,45.084
2018/06/20-20:12:59 (+0000),36.25,45.084
2018/06/20-20:13:00 (+0000),36.25,45.084
2018/06/20-20:13:01 (+0000),36.25,45.084
2018/06/20-20:13:02 (+0000),36.25,45.084
2018/06/20-20:13:03 (+0000),36.25,45.084
2018/06/20-20:13:04 (+0000),36.25,45.622
2018/06/20-20:13:05 (+0000),36.25,45.084
2018/06/20-20:13:06 (+0000),36.25,45.084
2018/06/20-20:13:07 (+0000),36.25,45.084
2018/06/20-20:13:07 (+0000),36.25,45.622
2018/06/20-20:13:08 (+0000),36.187,45.622
2018/06/20-20:13:09 (+0000),36.187,45.084
2018/06/20-20:13:10 (+0000),36.187,45.084
2018/06/20-20:13:11 (+0000),36.187,45.084
2018/06/20-20:13:12 (+0000),36.187,45.084
2018/06/20-20:13:13 (+0000),36.125,45.084
2018/06/20-20:13:14 (+0000),36.187,45.084
2018/06/20-20:13:14 (+0000),36.187,45.622
2018/06/20-20:13:15 (+0000),36.187,45.622
2018/06/20-20:13:16 (+0000),36.187,45.084
2018/06/20-20:13:17 (+0000),36.187,45.622
2018/06/20-20:13:18 (+0000),36.187,45.622
2018/06/20-20:13:19 (+0000),36.187,45.084
2018/06/20-20:13:20 (+0000),36.187,45.084
2018/06/20-20:13:21 (+0000),36.125,45.622
2018/06/20-20:13:21 (+0000),36.125,45.622
