Time,BBB CPU [degC],RPi CPU [degC]
2018/06/20-20:34:09 (+0000),42.062,49.388
2018/06/20-20:34:10 (+0000),42.062,49.388
2018/06/20-20:34:11 (+0000),42.062,49.388
2018/06/20-20:34:12 (+0000),42,49.388
2018/06/20-20:34:13 (+0000),42,49.388
2018/06/20-20:34:13 (+0000),42,49.925
2018/06/20-20:34:14 (+0000),42,49.388
2018/06/20-20:34:15 (+0000),42,49.925
2018/06/20-20:34:16 (+0000),42,49.388
2018/06/20-20:34:17 (+0000),42,49.925
2018/06/20-20:34:18 (+0000),42,49.388
2018/06/20-20:34:19 (+0000),42,49.925
2018/06/20-20:34:20 (+0000),42,49.388
2018/06/20-20:34:20 (+0000),42,49.388
2018/06/20-20:34:21 (+0000),42,49.925
2018/06/20-20:34:22 (+0000),42,49.925
2018/06/20-20:34:23 (+0000),42,49.388
2018/06/20-20:34:24 (+0000),42,49.925
2018/06/20-20:34:25 (+0000),42,49.925
2018/06/20-20:34:26 (+0000),42,49.388
2018/06/20-20:34:27 (+0000),42,49.925
2018/06/20-20:34:28 (+0000),42,49.388
2018/06/20-20:34:28 (+0000),42,49.388
2018/06/20-20:34:29 (+0000),42,49.388
2018/06/20-20:34:30 (+0000),42,49.925
2018/06/20-20:34:31 (+0000),42,49.925
2018/06/20-20:34:32 (+0000),42,49.925
2018/06/20-20:34:33 (+0000),42,49.388
2018/06/20-20:34:34 (+0000),42,49.388
2018/06/20-20:34:35 (+0000),42,49.925
2018/06/20-20:34:35 (+0000),42,49.388
2018/06/20-20:34:36 (+0000),42,49.925
2018/06/20-20:34:37 (+0000),42,49.925
2018/06/20-20:34:38 (+0000),42,49.388
2018/06/20-20:34:39 (+0000),42,49.388
2018/06/20-20:34:40 (+0000),42,49.925
2018/06/20-20:34:41 (+0000),42,49.388
2018/06/20-20:34:42 (+0000),42,49.925
2018/06/20-20:34:43 (+0000),42,49.388
2018/06/20-20:34:43 (+0000),42,50.464
2018/06/20-20:34:44 (+0000),42,49.925
2018/06/20-20:34:45 (+0000),42,49.388
2018/06/20-20:34:46 (+0000),42,49.925
2018/06/20-20:34:47 (+0000),42,49.388
2018/06/20-20:34:48 (+0000),42,49.388
2018/06/20-20:34:49 (+0000),42,49.925
2018/06/20-20:34:50 (+0000),42,49.925
2018/06/20-20:34:50 (+0000),42,49.388
2018/06/20-20:34:51 (+0000),42,49.388
2018/06/20-20:34:52 (+0000),42,49.388
2018/06/20-20:34:53 (+0000),42,49.388
2018/06/20-20:34:54 (+0000),42,49.388
2018/06/20-20:34:55 (+0000),42,49.388
2018/06/20-20:34:56 (+0000),42,49.388
2018/06/20-20:34:57 (+0000),42,49.388
2018/06/20-20:34:57 (+0000),42,49.388
2018/06/20-20:34:58 (+0000),42,49.388
2018/06/20-20:34:59 (+0000),42,50.464
2018/06/20-20:35:00 (+0000),42,49.925
2018/06/20-20:35:01 (+0000),41.937,49.925
2018/06/20-20:35:02 (+0000),41.937,49.925
2018/06/20-20:35:03 (+0000),41.875,49.388
2018/06/20-20:35:04 (+0000),41.875,49.925
2018/06/20-20:35:05 (+0000),41.812,50.464
2018/06/20-20:35:05 (+0000),41.812,49.925
2018/06/20-20:35:06 (+0000),41.75,49.925
2018/06/20-20:35:07 (+0000),41.75,49.925
2018/06/20-20:35:08 (+0000),41.687,49.925
2018/06/20-20:35:09 (+0000),41.687,49.925
2018/06/20-20:35:10 (+0000),41.687,49.925
2018/06/20-20:35:11 (+0000),41.625,49.388
2018/06/20-20:35:12 (+0000),41.625,50.464
2018/06/20-20:35:12 (+0000),41.625,49.925
2018/06/20-20:35:13 (+0000),41.562,49.388
2018/06/20-20:35:14 (+0000),41.562,49.925
2018/06/20-20:35:15 (+0000),41.562,49.925
2018/06/20-20:35:16 (+0000),41.5,49.925
2018/06/20-20:35:17 (+0000),41.5,49.388
