Time,BBB CPU [degC],RPi CPU [degC]
2018/06/20-20:25:20 (+0000),44.437,47.774
2018/06/20-20:25:21 (+0000),44.5,47.774
2018/06/20-20:25:22 (+0000),44.5,48.312
2018/06/20-20:25:23 (+0000),44.5,48.312
2018/06/20-20:25:23 (+0000),44.562,47.774
2018/06/20-20:25:24 (+0000),44.562,48.312
2018/06/20-20:25:25 (+0000),44.625,48.312
2018/06/20-20:25:26 (+0000),44.625,48.312
2018/06/20-20:25:27 (+0000),44.625,48.312
2018/06/20-20:25:28 (+0000),44.687,48.312
2018/06/20-20:25:29 (+0000),44.687,48.312
2018/06/20-20:25:30 (+0000),44.687,48.312
2018/06/20-20:25:30 (+0000),44.75,47.774
2018/06/20-20:25:31 (+0000),44.75,47.774
2018/06/20-20:25:32 (+0000),44.75,47.774
2018/06/20-20:25:33 (+0000),44.812,47.774
2018/06/20-20:25:34 (+0000),44.812,47.774
2018/06/20-20:25:35 (+0000),44.812,48.312
2018/06/20-20:25:36 (+0000),44.875,48.312
2018/06/20-20:25:37 (+0000),44.875,48.312
2018/06/20-20:25:37 (+0000),44.875,48.312
2018/06/20-20:25:38 (+0000),44.937,48.312
2018/06/20-20:25:39 (+0000),44.937,48.312
2018/06/20-20:25:40 (+0000),44.937,48.312
2018/06/20-20:25:41 (+0000),45,47.236
2018/06/20-20:25:42 (+0000),45,47.774
2018/06/20-20:25:43 (+0000),45,47.774
2018/06/20-20:25:44 (+0000),45,48.312
2018/06/20-20:25:45 (+0000),45.062,47.774
2018/06/20-20:25:45 (+0000),45.062,47.774
2018/06/20-20:25:46 (+0000),45.062,48.312
2018/06/20-20:25:47 (+0000),45.125,47.774
2018/06/20-20:25:48 (+0000),45.125,48.312
2018/06/20-20:25:49 (+0000),45.125,48.312
2018/06/20-20:25:50 (+0000),45.187,48.312
2018/06/20-20:25:51 (+0000),45.187,48.312
2018/06/20-20:25:52 (+0000),45.187,47.774
2018/06/20-20:25:52 (+0000),45.187,47.774
2018/06/20-20:25:53 (+0000),45.25,48.312
2018/06/20-20:25:54 (+0000),45.25,47.774
2018/06/20-20:25:55 (+0000),45.25,48.312
2018/06/20-20:25:56 (+0000),45.312,47.774
2018/06/20-20:25:57 (+0000),45.312,47.774
2018/06/20-20:25:58 (+0000),45.312,48.312
2018/06/20-20:25:59 (+0000),45.375,48.312
2018/06/20-20:25:59 (+0000),45.375,47.774
2018/06/20-20:26:01 (+0000),45.375,48.312
2018/06/20-20:26:02 (+0000),45.437,47.774
2018/06/20-20:26:03 (+0000),45.437,48.312
2018/06/20-20:26:04 (+0000),45.437,48.312
2018/06/20-20:26:05 (+0000),45.437,48.312
2018/06/20-20:26:06 (+0000),45.5,48.312
2018/06/20-20:26:07 (+0000),45.5,48.312
2018/06/20-20:26:07 (+0000),45.5,47.774
2018/06/20-20:26:08 (+0000),45.5,47.774
2018/06/20-20:26:09 (+0000),45.562,48.312
2018/06/20-20:26:10 (+0000),45.562,47.774
2018/06/20-20:26:11 (+0000),45.562,48.312
2018/06/20-20:26:12 (+0000),45.562,47.774
2018/06/20-20:26:13 (+0000),45.625,48.312
2018/06/20-20:26:14 (+0000),45.625,47.774
2018/06/20-20:26:14 (+0000),45.625,48.312
2018/06/20-20:26:15 (+0000),45.687,47.774
2018/06/20-20:26:16 (+0000),45.687,48.312
2018/06/20-20:26:17 (+0000),45.687,48.312
2018/06/20-20:26:18 (+0000),45.687,48.312
2018/06/20-20:26:19 (+0000),45.75,48.85
2018/06/20-20:26:20 (+0000),45.75,48.312
2018/06/20-20:26:21 (+0000),45.75,48.312
2018/06/20-20:26:21 (+0000),45.75,48.312
2018/06/20-20:26:22 (+0000),45.812,48.312
2018/06/20-20:26:23 (+0000),45.812,48.312
2018/06/20-20:26:24 (+0000),45.812,48.312
2018/06/20-20:26:25 (+0000),45.812,48.312
2018/06/20-20:26:26 (+0000),45.875,48.312
2018/06/20-20:26:27 (+0000),45.875,48.312
2018/06/20-20:26:28 (+0000),45.875,48.312
2018/06/20-20:26:29 (+0000),45.875,48.312
2018/06/20-20:26:29 (+0000),45.875,48.312
2018/06/20-20:26:30 (+0000),45.937,48.312
2018/06/20-20:26:31 (+0000),45.937,48.312
2018/06/20-20:26:32 (+0000),45.937,48.312
2018/06/20-20:26:33 (+0000),45.937,48.312
2018/06/20-20:26:34 (+0000),46,48.312
2018/06/20-20:26:35 (+0000),46,47.774
2018/06/20-20:26:36 (+0000),46,47.774
2018/06/20-20:26:37 (+0000),46,48.312
2018/06/20-20:26:37 (+0000),46.062,48.312
2018/06/20-20:26:38 (+0000),46.062,48.312
2018/06/20-20:26:39 (+0000),46.062,48.312
2018/06/20-20:26:40 (+0000),46.062,48.312
2018/06/20-20:26:41 (+0000),46.125,48.312
2018/06/20-20:26:42 (+0000),46.125,48.312
2018/06/20-20:26:43 (+0000),46.125,48.312
2018/06/20-20:26:44 (+0000),46.125,48.312
2018/06/20-20:26:44 (+0000),46.125,48.312
2018/06/20-20:26:45 (+0000),46.187,48.312
2018/06/20-20:26:46 (+0000),46.187,48.312
2018/06/20-20:26:47 (+0000),46.187,48.312
2018/06/20-20:26:48 (+0000),46.187,48.312
2018/06/20-20:26:49 (+0000),46.25,48.312
2018/06/20-20:26:50 (+0000),46.25,48.312
2018/06/20-20:26:51 (+0000),46.25,48.312
2018/06/20-20:26:51 (+0000),46.25,48.85
2018/06/20-20:26:52 (+0000),46.25,48.312
2018/06/20-20:26:53 (+0000),46.312,48.312
2018/06/20-20:26:54 (+0000),46.312,48.312
2018/06/20-20:26:55 (+0000),46.312,48.312
2018/06/20-20:26:56 (+0000),46.312,48.312
2018/06/20-20:26:57 (+0000),46.375,48.312
2018/06/20-20:26:58 (+0000),46.375,48.312
2018/06/20-20:26:59 (+0000),46.375,48.312
2018/06/20-20:26:59 (+0000),46.375,48.312
2018/06/20-20:27:00 (+0000),46.375,48.312
2018/06/20-20:27:01 (+0000),46.437,48.312
2018/06/20-20:27:02 (+0000),46.437,48.312
2018/06/20-20:27:03 (+0000),46.437,48.312
2018/06/20-20:27:04 (+0000),46.437,48.312
2018/06/20-20:27:05 (+0000),46.437,48.312
2018/06/20-20:27:06 (+0000),46.5,48.312
2018/06/20-20:27:06 (+0000),46.5,48.312
2018/06/20-20:27:07 (+0000),46.5,48.85
2018/06/20-20:27:08 (+0000),46.5,48.312
2018/06/20-20:27:09 (+0000),46.5,48.312
2018/06/20-20:27:10 (+0000),46.562,48.312
2018/06/20-20:27:11 (+0000),46.562,47.774
2018/06/20-20:27:12 (+0000),46.562,48.312
2018/06/20-20:27:13 (+0000),46.562,48.312
2018/06/20-20:27:13 (+0000),46.625,48.85
2018/06/20-20:27:14 (+0000),46.625,48.312
2018/06/20-20:27:15 (+0000),46.625,48.85
2018/06/20-20:27:16 (+0000),46.625,48.312
2018/06/20-20:27:17 (+0000),46.625,48.312
2018/06/20-20:27:18 (+0000),46.687,48.312
2018/06/20-20:27:19 (+0000),46.687,48.312
2018/06/20-20:27:20 (+0000),46.687,48.312
2018/06/20-20:27:21 (+0000),46.687,48.312
2018/06/20-20:27:21 (+0000),46.687,48.312
2018/06/20-20:27:22 (+0000),46.687,48.312
2018/06/20-20:27:23 (+0000),46.687,48.312
2018/06/20-20:27:24 (+0000),46.75,48.312
2018/06/20-20:27:25 (+0000),46.75,48.312
2018/06/20-20:27:26 (+0000),46.75,48.312
2018/06/20-20:27:27 (+0000),46.812,48.85
2018/06/20-20:27:28 (+0000),46.812,48.312
